species,breed,origin,age_months,gender,health_status,vaccination_status,size,energy_level,exercise_needs,training_needs,trained_level,child_friendly_score,pet_friendly_score,stranger_friendly_score,needs_yard,can_live_in_apartment,grooming_needs,estimated_monthly_cost,noise_level,can_be_left_alone,max_hours_alone,requires_experienced_owner,temperament_tags,description,adoption_success
Dog,Dachshund,International,15,female,healthy,not_vaccinated,small,3,moderate,moderate,basic,6,4,5,False,True,low,3100.0,vocal,True,7,False,"curious,lively,stubborn,playful,vocal",Compact apartment dog. Stubborn but charming. Avoid stairs climbing — prone to spinal issues.,True
Dog,German Shepherd,International,39,male,healthy,partial,large,4,high,moderate,intermediate,6,3,5,True,False,moderate,5700.0,moderate,True,5,False,"loyal,protective,intelligent,versatile,brave",Highly intelligent working dog. Loyal protector. Needs consistent training and daily exercise.,False
Dog,Rajapalayam,Indian,2,female,minor_condition,not_vaccinated,large,5,high,high,intermediate,3,3,1,True,False,low,2600.0,moderate,True,6,True,"loyal,protective,independent,brave,reserved","Royal Tamil Nadu sighthound. One-person dog — extremely loyal to owner, aloof with strangers. Needs experienced handler.",False
Cat,Persian,International,4,female,healthy,up_to_date,medium,3,minimal,low,basic,5,7,4,False,True,high,3500.0,quiet,True,9,False,"calm,gentle,quiet,affectionate,lap-cat",Most popular purebred cat in India. Calm and gentle. Requires daily grooming and AC in Indian summers.,False
Cat,Indian Street Cat (Rescued),Indian,150,male,serious_condition,not_vaccinated,medium,2,minimal,low,basic,6,5,3,False,True,low,900.0,quiet,True,10,False,"independent,cautious,adaptable,resilient,gentle",Rescued street cat. Takes time to adjust indoors. Very hardy. Lowest cost cat to maintain in India.,False
Cat,Maine Coon,International,68,male,healthy,up_to_date,large,3,moderate,moderate,basic,8,7,8,False,True,high,5400.0,moderate,True,8,False,"gentle-giant,dog-like,playful,friendly,social",Largest domestic cat breed. Dog-like personality. Loves water. Needs AC in Indian summers due to long coat.,True
Dog,Indian Pariah Dog,Indian,13,female,healthy,not_vaccinated,medium,4,high,moderate,basic,6,6,3,False,True,low,1600.0,moderate,True,7,False,"alert,loyal,intelligent,independent,hardy","Ancient landrace breed, extremely hardy and healthy. Highly adaptable to Indian climate. Intelligent and loyal to family.",True
Dog,Golden Retriever,International,70,male,minor_condition,up_to_date,large,4,high,moderate,intermediate,10,9,9,True,False,high,4300.0,moderate,True,5,False,"gentle,friendly,patient,trainable,playful",Outstanding family companion. Excellent with children and other pets. Heavy shedder — needs regular grooming.,True
Dog,Combai,Indian,31,female,healthy,up_to_date,medium,4,high,high,basic,5,2,2,True,False,low,1800.0,moderate,True,6,True,"brave,aggressive,protective,powerful,loyal","Bear-hunting dog from Tamil Nadu. Powerful guardian. Requires firm training, socialization, and an experienced handler.",True
Cat,Siamese,International,1,female,healthy,not_vaccinated,medium,5,moderate,moderate,intermediate,7,6,4,False,True,low,3900.0,vocal,True,7,False,"vocal,social,intelligent,demanding,affectionate",Very chatty and social. Demands attention. Dislikes being alone long. Bonds deeply with one person.,True
Dog,Boxer,International,77,female,minor_condition,up_to_date,large,4,high,moderate,intermediate,10,7,7,True,False,low,4600.0,moderate,False,4,False,"playful,loyal,energetic,funny,protective",Playful family dog. Excellent with children. Brachycephalic — needs shade in Indian summers. Very energetic.,False
Dog,Rottweiler,International,3,female,minor_condition,up_to_date,large,3,moderate,high,intermediate,5,3,3,True,False,low,5300.0,moderate,True,5,True,"loyal,confident,protective,powerful,calm",Powerful guardian. Needs early socialization and firm training. Devoted to family. Not for first-time owners.,True
Dog,Shih Tzu,International,48,male,healthy,partial,small,2,minimal,moderate,basic,8,7,8,False,True,high,3700.0,quiet,True,8,False,"affectionate,calm,adaptable,gentle,lap-dog",Excellent apartment dog. Loves attention. Needs extensive daily grooming. Good with children.,True
